artist_id,email_1st_click_campaign_name,nb_sales,total_bv
26683,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,5534.5377
2653,ADWORDS_ARTISTS,2,5530
59053,BING_GENERAL,2,5506.9866
19475,TEMPLATE PAINTINGS SEARCH,1,5478.86375
8771,ADWORDS_GENERAL,2,5477.054
14061,ADWORDS_GENERAL_BROAD,5,5450
13259,SEO_NON_BRAND_TPL_GALLERY_SHOP,1,5444.020664
3505,ADWORDS_GENERAL,4,5430
31577,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,5424.917043
36501,ADWORDS_GENERAL,16,5378.342839
4573,ADWORDS_ARTISTS,1,5376.24
731,TEMPLATE ARTWORK,1,5370.856
1546,FACEBOOK_CONVERSION_DECO_MAGAZINE,2,5369.715
11905,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,5366.37232
36621,TEMPLATE PHOTO SEARCH,4,5365.578
18455,TEMPLATE ARTIST,2,5357.6762
36501,INTERNAL_CAMPAIGN_DIRECT_ACCESS,11,5357.325975
56436,ADWORDS_GENERAL_BROAD,5,5346.17
61070,INTERNAL_CAMPAIGN_SEA_BRAND,1,5342.221885
33687,ADWORDS_GENERAL,1,5337.76
242,FACEBOOK_CONVERSION_LOOKALIKE CUSTOMER 6%,1,5330
59080,EMAIL_TRANSACTIONAL_CUSTOM_SITE_ACTIVITY,2,5320
8903,TEMPLATE_GRAND_ARTIST,2,5310.78215
60512,BING_GENERAL,2,5305.203325
12975,ADWORDS_GALLERIES_CITIES_LP,1,5300
36593,TEMPLATE_BLUECHIP_ARTIST,1,5257.263
8167,INTERNAL_CAMPAIGN_DIRECT_ACCESS,5,5251.689448
20221,ADWORDS_MEDIUM,3,5248.004253
4777,TEMPLATE PAINTINGS SEARCH,1,5246.53125
12155,ADWORDS_GALLERIES_CITIES,4,5215.89425
36495,ADWORDS_GENERAL,2,5210
2481,ADWORDS_GENERAL,6,5209.54198
4545,DISPLAY_ADWORDS_CUSTOM_INTENT_FINANCE_WEBSITES,1,5200
8627,INTERNAL_CAMPAIGN_FACEBOOK,1,5184
6739,TEMPLATE_BLUECHIP_ARTIST,1,5170.188765
56912,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,5164.59334
85,INTERNAL_CAMPAIGN_SEA_BRAND,2,5160.75825
63,INTERNAL_CAMPAIGN_SEA_BRAND,1,5136.11626
8627,INTERNAL_CAMPAIGN_SEA_BRAND,1,5120
3167,TEMPLATE ARTIST,6,5114.62648
32291,TEMPLATE ARTIST,4,5110
17621,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,5095.2629
62402,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,5092.854048
4511,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,5091
11231,ADWORDS_GENERAL,2,5090
30367,TEMPLATE ARTIST,4,5079
10221,ADWORDS_GENERAL,2,5067.304
22625,SEO_NON_BRAND_TPL_GALLERY_CITY,2,5064.92976
27745,ADWORDS_MEDIUM,1,5058.18578
1973,INTERNAL_CAMPAIGN_APP_IOS,2,5055.44508
11347,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,5039.096188
4273,ADWORDS_GENERAL,2,5038.358224
17337,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,5024
17179,TEMPLATE_GRAND_ARTIST,1,5010.38496
49820,ADWORDS_GENERAL_EXPLORATION,2,5008.46875
1437,INTERNAL_CAMPAIGN_SEA_BRAND,1,5000
36547,TEMPLATE_BLUECHIP_ARTIST,1,5000
1753,SEO_NON_BRAND_TPL_GALLERY_CITY,1,5000
36518,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,1,5000
27865,DISPLAY_ADWORDS_PL_HOME_DECO,2,4991.36139
14257,INTERNAL_CAMPAIGN_DIRECT_ACCESS,5,4991.264125
28195,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,1,4990
36518,TEMPLATE ARTIST,2,4978.3
1697,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,4962.45636
1973,ADWORDS_ARTISTS,1,4956.539025
5973,DISPLAY_ADWORDS_SIMILAR_CUSTOMEREMAIL,1,4952.69
7963,TEMPLATE_BLUECHIP_ARTIST,2,4940.87426
36527,TEMPLATE_GRAND_ARTIST,5,4869.495119
1303,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,4861.175
1705,ADWORDS_GALLERIES_CITIES,1,4853.369122
36817,ADWORDS_GENERAL_TROAS,2,4850
36185,ADWORDS_GENERAL,6,4842.1696
507,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,4839.235724
1200,TEMPLATE COLLECTIONS,2,4836
17337,ADWORDS_GENERAL_BROAD,3,4830
3167,INTERNAL_CAMPAIGN_SEA_BRAND,5,4824.25
7119,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,4807.2596
6623,INTERNAL_CAMPAIGN_SEA_BRAND,3,4800.75206
7643,FACEBOOK_REMARKETING_GENERAL,2,4800
49864,BING_GENERAL,1,4796.335
11231,TEMPLATE PAINTINGS SEARCH,2,4762
1969,ADWORDS_GALLERIES_CITIES,2,4736.918226
6463,ADWORDS_GENERAL,2,4721.982242
7117,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,4668.88
8963,ADWORDS_GENERAL,2,4667.277031
63,ADWORDS_GENERAL_EXPLORATION,1,4662.4
24703,SEO_NON_BRAND_TPL_GALLERY_CITY,2,4653.039826
6373,DISPLAY_ADWORDS_CUSTOM_INTENT_FINANCE_WEBSITES,2,4650
3233,SEO_NON_BRAND_TPL_GALLERY_CITY,1,4643.761416
34931,TEMPLATE ARTWORK,1,4578.125
9367,INTERNAL_CAMPAIGN_DIRECT_ACCESS,5,4575.178501
36682,TEMPLATE_GRAND_ARTIST,1,4550
36735,ADWORDS_GENERAL,2,4544.22
3567,INTERNAL_CAMPAIGN_SEA_BRAND,1,4528.4904
10109,ADWORDS_GALLERIES_CITIES,1,4521.24
21973,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,4517.64
2099,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,1,4509.923481
58977,ADWORDS_GENERAL_BROAD,15,4503
36507,EMAIL_TRANSACTIONAL_CUSTOM_FOLLOW_SEARCH,1,4500
3135,ADWORDS_ARTISTS,2,4500
31393,ADWORDS_GENERAL,1,4500
3807,DISPLAY_ADWORDS_PL_HOME_DECO,1,4497.71
31033,TEMPLATE ARTIST,1,4497.71
8883,ADWORDS_GENERAL,1,4492.9539
10233,INTERNAL_CAMPAIGN_DIRECT_ACCESS,5,4492.59
21491,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,4483
2759,ADWORDS_GALLERIES_CITIES,1,4465.588
14257,ADWORDS_GALLERIES_CITIES,3,4464.7959
19883,ADWORDS_GENERAL,2,4453.104775
33345,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,4445.37
31763,ADWORDS_GENERAL,5,4437.045443
15999,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,4436.46
35177,ADWORDS_GENERAL_BROAD,2,4420
21105,ADWORDS_GALLERIES_CITIES,3,4416.880722
11651,TEMPLATE ARTIST,5,4412.61
33920,TEMPLATE ARTWORK,1,4408.550963
60325,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,4400
4063,INTERNAL_CAMPAIGN_SEA_BRAND,1,4400
25571,ADWORDS_GENERAL_EXPLORATION_TOP10%,1,4397.655151
6613,ADWORDS_GENERAL,3,4396
1303,ADWORDS_ARTISTS,1,4394.084375
3053,ADWORDS_GENERAL,1,4388.451748
52408,BING_GENERAL,1,4371.593789
3197,TEMPLATE ARTWORK,1,4350.9059
50159,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,2,4332
8177,SEO_NON_BRAND_TPL_GALLERY_CITY,1,4326
36504,EMAIL_NEWSLETTER_RECCURING,3,4320
36528,ADWORDS_GALLERIES_CITIES,2,4305.26875
4717,ADWORDS_GENERAL,4,4299.977432
3385,EMAIL_TRANSACTIONAL_MAO_PARTIAL_ACCEPT,2,4294
7859,TEMPLATE ARTIST,1,4285.900164
4657,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,4284.04
37407,INTERNAL_CAMPAIGN_SEO_BRAND_YAHOO,1,4275
4027,TEMPLATE PAINTINGS SEARCH,1,4250
33920,FACEBOOK_CONVERSION_LOOKALIKEPURCHASE,1,4229.54048
34181,COLD_MAILING_TRADEPROGRAM_B2B_INTERIOR_DESIGNERS,1,4227.415065
59366,ADWORDS_GENERAL,4,4220
11231,ADWORDS_GALLERIES_CITIES,1,4216.3418
6015,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,4216.27651
168,ADWORDS_GENERAL,2,4211.005
33101,TEMPLATE ARTIST,1,4210.541
8627,DISPLAY_ADWORDS_PL_FINANCEURL,1,4209.130002
3425,ADWORDS_GALLERIES_CITIES,2,4205.332467
19709,ADWORDS_GALLERIES_CITIES,3,4186
16233,BING_GENERAL,2,4184.40625
66715,DISPLAY_ADWORDS_CUSTOM_INTENT_FINANCE_WEBSITES,1,4184
28051,ADWORDS_GENERAL_BROAD,2,4180
15597,TEMPLATE ARTIST,1,4165.689585
36495,INTERNAL_CAMPAIGN_SEO_BRAND_OTHER,2,4165
59961,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,4162.7703
21043,TEMPLATE_BLUECHIP_ARTIST,2,4148.750736
36512,ADWORDS_GENERAL,5,4146.3846
2429,ADWORDS_GENERAL,2,4138.414
1478,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,4130
1717,TEMPLATE ARTWORK,1,4123
26415,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,4114.93092
1546,TEMPLATE COLLECTIONS,1,4110
8217,BING_GENERAL,3,4106.53125
36621,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,4104
1889,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,4097.843098
3061,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,4097.256838
14061,ADWORDS_GALLERIES_CITIES,2,4095.66375
2933,ADWORDS_GENERAL,4,4085.07081
66745,ADWORDS_ARTISTS,1,4077.9515
67193,ADWORDS_GENERAL,2,4069.409526
3143,ADWORDS_ARTISTS,3,4065.3261
