artist_id,artist,artwork_id,categories,styles,medium,orientation
3969,Marcos Zrihen,309753,"conceptual,nature",minimalism,painting,landscape
3969,Marcos Zrihen,309761,"conceptual,nature",minimalism,painting,landscape
3969,Marcos Zrihen,356279,"conceptual,nature",minimalism,painting,landscape
3969,Marcos Zrihen,356293,nature,"realism,symbolic",painting,landscape
3969,Marcos Zrihen,356309,"conceptual,nature",minimalism,painting,landscape
3969,Marcos Zrihen,356351,"genre_painting,landscape",minimalism,painting,portait
3969,Marcos Zrihen,356369,"conceptual,landscape",minimalism,painting,portait
3969,Marcos Zrihen,744833,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,744861,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,744871,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,758723,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,802153,"fantasy,genre_painting","figurative,oriental_art",painting,portait
3969,Marcos Zrihen,802169,"fantasy,genre_painting","figurative,oriental_art",painting,portait
3969,Marcos Zrihen,802227,"fantasy,marine",minimalism,painting,landscape
3969,Marcos Zrihen,802285,"fantasy,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,803197,"fantasy,genre_painting,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1396043,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,803213,"fantasy,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,803229,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,803251,"fantasy,nature","aboriginal_art,figurative,minimalism",painting,portait
3969,Marcos Zrihen,807145,"fantasy,landscape",minimalism,painting,landscape
3969,Marcos Zrihen,1872824,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1876482,"fantasy,fashion",figurative,painting,portait
3969,Marcos Zrihen,815255,"fantasy,portrait",expressionism,painting,landscape
3969,Marcos Zrihen,815183,fantasy,"minimalism,surrealism",painting,portait
3969,Marcos Zrihen,1878588,fantasy,figurative,painting,portait
3969,Marcos Zrihen,1879950,fantasy,"figurative,oriental_art",painting,portait
3969,Marcos Zrihen,1879960,"fashion,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1363455,"fantasy,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1363455,"fantasy,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1365079,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1365341,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1382793,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1382799,"fantasy,nature",minimalism,painting,landscape
3969,Marcos Zrihen,2332865,"fantasy,landscape,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,2334129,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,2337328,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1883501,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1883502,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1883506,"fantasy,landscape,nature",minimalism,painting,portait
7037,Maria Moretti,1080985,abstract_art,abstract,painting,landscape
7037,Maria Moretti,1024251,abstract_art,abstract,painting,landscape
7037,Maria Moretti,1547134,abstract_art,abstract,painting,landscape
7037,Maria Moretti,284621,nude,"realism,symbolic",drawing,landscape
7037,Maria Moretti,2542122,"abstract_art,conceptual,genre_painting,vanitas","abstract,impressionism,naive,primitivism",painting,landscape
7037,Maria Moretti,1554148,abstract_art,"abstract,oriental_art",painting,landscape
7037,Maria Moretti,1075735,portrait,semi_abstract,painting,landscape
7037,Maria Moretti,1543847,"fashion,genre_painting,nude,vanitas","figurative,fine_art,oriental_art,semi_abstract",painting,landscape
7037,Maria Moretti,1567822,"abstract_art,conceptual,fantasy,religion","abstract,metaphysical,oriental_art,symbolic",painting,landscape
