artist_id,artist_name,artist_type,nb_sessions_artist_page,nb_sessions_artwork_page,nb_sessions_total,nb_entry_sessions_artist_campaign,nb_entry_sessions_artwork_campaign,nb_entry_sessions_total,artist_total_bv,artist_entry_bv_same_artist,artist_entry_bv_other_artist,artwork_entry_bv_same_artist,artwork_entry_bv_other_artist,1stClick BV,pull_ratio_artist,pull_ratio_artwork,pull_ratio,pct_first_click_bv_same_artist,1st_click_BV_per_First_click_session
26711,Kris Gebhardt,Singulart Artist,22129,120974,143103,4812,3478,8290,168301.6167,898.848974,42465.26112,0,0,"43,364",21.75%,2.88%,5.79%,0.53%,€5.20
7821,Miles Regis,Singulart Artist,18695,44950,63645,3346,1096,4442,167055.3922,0,0,0,0,0,17.90%,2.44%,6.98%,0.00%,€0.00
8331,Valerie Vescovi,Singulart Artist,15118,109579,124697,2064,4022,6086,166932.8818,8924.125814,0,1406.4354,1636.514875,"11,967",13.65%,3.67%,4.88%,6.19%,€2.00
5241,Ángel Moyano Rivas,Singulart Artist,31844,166295,198139,5720,2500,8220,166042.6747,5032.4548,0,761.82635,0,"5,794",17.96%,1.50%,4.15%,3.49%,€0.70
2429,Astrid Stoeppel,Singulart Artist,29508,232528,262036,3706,5812,9518,165742.1591,2598.304004,4439.310894,2832.6068,0,"9,870",12.56%,2.50%,3.63%,3.28%,€1.00
6739,Ernestine Tahedl,Singulart Artist,12329,79748,92077,2702,2663,5365,162723.9996,12729.51476,12310.18877,0,0,"25,040",21.92%,3.34%,5.83%,7.82%,€4.70
7455,Khodakivskyi Vasyl,Singulart Artist,20397,122938,143335,4118,3190,7308,162404.1317,0,0,4145.65758,0,"4,146",20.19%,2.60%,5.10%,2.55%,€0.60
1923,Kobransky,Singulart Artist,26868,40137,67005,11228,2886,14114,160769.547,12050,12171.3898,0,0,"24,221",41.79%,7.19%,21.06%,7.50%,€1.70
36515,Mr. Brainwash,Grand Artist,70829,125021,195850,21758,3651,25409,157972.2291,12118.15106,0,0,20500,"32,618",30.72%,2.92%,12.97%,7.67%,€1.30
4621,Jean-Humbert Savoldelli,Singulart Artist,12825,49279,62104,2851,896,3747,157671.3172,8037.1525,4917,0,0,"12,954",22.23%,1.82%,6.03%,5.10%,€3.50
6463,Irina Laube,Singulart Artist,36150,216314,252464,9353,5157,14510,156477.2456,5320.882,0,3560.887,0,"8,882",25.87%,2.38%,5.75%,5.68%,€0.60
1245,Erick Artik,Singulart Artist,34740,96784,131524,3083,3563,6646,156306.2406,0,2700.72,8031,0,"10,732",8.87%,3.68%,5.05%,5.14%,€1.60
4115,Frank Jähne,Singulart Artist,31881,177554,209435,3661,1815,5476,155845.3424,330,3690,1600,0,"5,620",11.48%,1.02%,2.62%,1.24%,€1.00
1440,Seunghwui Koo,Singulart Artist,38888,81868,120756,3341,1299,4640,155168.2402,9452.75665,0,0,0,"9,453",8.59%,1.59%,3.84%,6.09%,€2.00
1969,Prof. Gerhard Silber,Singulart Artist,19786,61078,80864,2917,1472,4389,154917.0004,13000,0,0,13477.71745,"26,478",14.74%,2.41%,5.43%,8.39%,€6.00
15627,Maryline Lemaitre,Singulart Artist,16569,95594,112163,2253,1837,4090,154424.3059,4443.75575,768,0,0,"5,212",13.60%,1.92%,3.65%,2.88%,€1.30
13837,Mitchell Villa,Singulart Artist,24721,38763,63484,3468,1086,4554,153793.5581,0,0,0,0,0,14.03%,2.80%,7.17%,0.00%,€0.00
4573,Robert H N Rich,Singulart Artist,15654,119912,135566,2587,4020,6607,153527.6512,8176.24,5570,0,0,"13,746",16.53%,3.35%,4.87%,5.33%,€2.10
11905,Hassan Massoudy,Singulart Artist,41621,72159,113780,20200,3093,23293,151850.6924,21331.46132,3140,2414.8542,0,"26,886",48.53%,4.29%,20.47%,15.64%,€1.20
3243,Lilia Orlova-Holmes,Singulart Artist,24534,70718,95252,6197,1347,7544,150699.9013,4908.869485,4390,0,0,"9,299",25.26%,1.91%,7.92%,3.26%,€1.20
3061,Stanislav Sidorov,Singulart Artist,20462,87465,107927,5180,2809,7989,150686.9779,11582.78114,2194.556,6540,0,"20,317",25.32%,3.21%,7.40%,12.03%,€2.50
36518,Keith Haring,Grand Artist,50437,152425,202862,17584,10874,28458,149706.6001,35512.03912,5902.23325,1388.466,0,"42,803",34.86%,7.13%,14.03%,24.65%,€1.50
2933,Anastasiya Valiulina,Singulart Artist,39134,176374,215508,5933,13732,19665,148073.2002,1100,0,0,0,"1,100",15.16%,7.79%,9.13%,0.74%,€0.10
15167,RogerM,Singulart Artist,23100,132829,155929,2211,2900,5111,144767.5138,6111.90067,742,0,0,"6,854",9.57%,2.18%,3.28%,4.22%,€1.30
24035,Johanna Sanna,Singulart Artist,17180,111886,129066,2594,2909,5503,144190.0693,4065.897817,0,2000,0,"6,066",15.10%,2.60%,4.26%,4.21%,€1.10
950,Maciej Cieśla,Singulart Artist,15412,66626,82038,2300,2352,4652,142886.1619,9270.763653,1524.20625,2044.2375,0,"12,839",14.92%,3.53%,5.67%,7.92%,€2.80
13923,Philippe Abril,Singulart Artist,50031,480901,530932,8942,16976,25918,140727.5314,5189.71262,712.0468,5062.558916,0,"10,964",17.87%,3.53%,4.88%,7.29%,€0.40
3813,David Onen,Singulart Artist,23108,176095,199203,3936,4098,8034,138381.3948,5928.9957,2120,1622,822.42618,"10,493",17.03%,2.33%,4.03%,5.46%,€1.30
8221,Thomas Dellert,Singulart Artist,81121,1110218,1191339,7252,158004,165256,138125.3834,7416.43402,0,5683.67432,0,"13,100",8.94%,14.23%,13.87%,9.48%,€0.10
984,Sergej Sologub,Singulart Artist,36001,135463,171464,5177,3650,8827,137701.9755,0,4048.101274,0,0,"4,048",14.38%,2.69%,5.15%,0.00%,€0.50
1953,María Burgaz,Singulart Artist,26052,185557,211609,4060,4819,8879,136941.6531,4627.80834,3052.2287,3497.9603,0,"11,178",15.58%,2.60%,4.20%,5.93%,€1.30
5863,Sang H. Han,Singulart Artist,18292,85877,104169,3796,1587,5383,136843.7745,3003.414,0,0,0,"3,003",20.75%,1.85%,5.17%,2.20%,€0.60
27425,Taron Marukyan,Singulart Artist,11426,34039,45465,3070,493,3563,136412.4571,6550,0,4674.46018,0,"11,224",26.87%,1.45%,7.84%,8.23%,€3.20
2131,Seung Yoon Choi,Singulart Artist,19739,68117,87856,4067,1381,5448,136216.612,14175.77511,2530.002,8645.8472,0,"25,352",20.60%,2.03%,6.20%,16.75%,€4.70
7135,Artize,Singulart Artist,25410,147462,172872,4277,5734,10011,135068.7643,5451.16942,1125.40428,0,0,"6,577",16.83%,3.89%,5.79%,4.04%,€0.70
